"","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27 Trachurus trachurus",-2.08465388760394,-0.677275693168845,-0.879931691281137,-0.890438082628046,-0.78021553031215,-0.947777512141112,-0.789382613454749,-0.542861285888372,-0.0157671188080577,0.0205949285101335,-0.243966205614362,-0.769496246350066,-0.536210472447324,-0.197567901382372,-0.653708215445048,0.826982378512281,0.665612718143264,1.0930711656311,1.54106539627233,1.24089713966706,0.987795520964258,1.57247722949982,0.0293822529486069,-1.00905397835389,-0.62445938998085,-0.550316502009862,-0.153942669413914,0.191236580389264,0.00533887614707227,-0.197999373358321,0.207911574919612,0.258964070236496,0.483348445487337,1.20068042288253,1.32698534458675,1.5042688254503,1.24549402516783,1.51553370066223,1.81782247602959,1.39108633134974,1.98087152694184,1.53403428592341,1.38739596695723,0.768387229848059,0.527661627160253,-0.217219735388181,-0.15049217750106,-0.494127091008243,-0.623769893519489,-0.691145843901613,-0.668708899499566,-0.780950881730051,-1.25739547012009,-1.14461284470816,-0.639953589077926,-1.00232882303479,-1.06853337990778,-1.12628669331109,-1.19922267559611,-1.71512767234183
"27 Penaeus spp",-0.288183100640639,-0.571330706155231,-0.1362110280458,0.0542656130599467,0.00964428283149596,0.258745066106294,0.355615261850269,0.387630194863268,0.65161859984645,0.513474790076693,0.768046250504848,0.992527814473996,0.342400010176939,0.297778679948488,0.406429876202937,-0.00751281675591055,0.311998034136188,0.642924262262284,1.02416571460884,-2.18268029569437,1.97345705067315,1.9001785696745,2.18785757713561,1.19347060730195,-2.02260563062937,-1.99059069761637,-1.95857576460337,-1.92656083159037,-1.89454589857737,-1.86253096556437,-1.83051603255138,-0.647261125396475,-0.992318867292989,-0.745864343791258,0.282366589808794,-0.33485840170921,-0.37347978021982,-0.468664487188736,-0.269690709087895,0.0188104431511913,0.167533006346114,0.85403315290267,1.02400461439029,1.41123440298332,0.414576500177894,-0.194619224555175,0.344570355452547,-0.0920501125358645,-1.25424723831739,-0.0156795735096425,0.148712142884184,0.20371132125607,0.28560151567562,0.132433754027946,0.299756120295067,0.485343079875272,0.485287810222579,0.295098961748846,0.450069068510529,0.485206536585938
"27 Boops boops",0.789780786972284,0.569395349808795,0.321241995564851,0.460449342921047,0.983176782127837,0.579931834627357,0.527140058059888,0.473251114825956,0.321154419302496,-0.282285048949318,0.147647424829444,0.245182470416819,0.384389817773015,0.467982649611418,0.270448069203808,0.159217886552098,0.150766828202317,2.31705602114793,-2.896575607574,-2.90502666592378,-0.014141163466858,-1.21614601294663,-0.361231007702478,-0.627413306775625,-0.415607150169308,-0.199077570484326,-0.407179401033769,0.36441828278245,-0.126522136285559,0.200129811806906,-0.248882388980927,0.204832908349099,0.208272250507774,0.159064860704568,0.266114592347899,0.227396127937938,-0.182380800008406,-0.443856258953429,-0.57766641265046,-0.786857299419019,-0.671185200190702,-0.972527731198564,-0.777735645950706,-0.514016147965679,0.480705876728692,-0.284405093315404,-0.193654854342959,-0.374368418842712,-0.84384371499127,-0.926679180399371,-1.0475891124586,-0.499334786016345,-0.711884308146402,-0.611170620224476,-0.519404149890076,0.108544898463526,1.63517742691195,2.78437914054426,2.42989199097592,2.40150617524881
"27 Dentex macrophthalmus",0.120274547887829,0.258119537849273,0.15985821164352,0.175162239434458,0.255999485844217,0.402369950872794,0.374382868314894,0.192701046715346,0.168756344523383,0.0426833797661514,0.523467013405002,0.60430425981476,0.664342876295905,0.745180122705663,0.846815999044034,0.814983405869106,0.895820652278864,1.21671613110676,-2.860680418821,-2.77984317241124,1.38851286970406,0.927546880222159,1.00102677318562,-1.93343517161845,-2.04698280499962,-1.77176067879893,-2.21398244754293,-2.13314520113318,-2.05230795472342,-1.03708225763235,1.45528405364683,0.758273252175002,0.91078752058748,0.850723067038278,0.0370106282529187,0.0791675326625481,0.179709528717763,0.3806591922844,0.491228737589616,0.422221267947036,0.157083770744502,0.0563142511016217,0.683708599530982,-0.316690243423291,-0.235852997013533,-0.678074765757534,-0.597237519347776,-0.187726137575186,-0.106888891165428,-0.0260516447556696,0.0547856016540881,0.330007727854772,0.216460094473604,-0.0313767944794706,0.0494604519302875,0.130297698340045,0.539809080112636,0.291972191159561,0.701483572932151,0.453646683979077
"27 Pagellus erythrinus",-0.0518653310454252,0.0177244862608264,0.716866150041921,1.64098010493447,1.2514071764742,0.549372606279469,0.61896242358572,1.13446421140262,1.46736607060062,0.745939490961421,0.644032842017092,1.34317450579818,0.599626871662165,0.139782119099105,-0.484621227711163,-0.415031410404912,-0.345441593098661,0.533900473394321,-3.85302840619837,-3.78343858889212,-0.468657890798615,-0.382729623204473,0.422603709357967,1.21406237978809,-0.762380304451997,-0.643920206933856,-0.701206087886992,-0.432922803731597,-0.449359829740654,-0.32371661290651,-0.724199466233063,-0.569224853773704,-0.543498317440916,-0.562282561442709,-0.280159159669313,-0.241431146614282,-0.439872481675677,-0.418014029275638,-0.218315576657614,-0.644852826148144,-0.762441159777354,-0.581686722714828,-0.235892864956762,-0.267401555876866,-0.359852049594438,-0.0169888088377642,-0.0698291368669729,0.0705923037498136,-0.0945580015710695,-0.107143406195251,0.126725807274338,0.316820924515583,0.504926022425598,0.41165776612678,0.296333844680304,0.456295942178729,0.455564391549974,0.570456000170244,2.09813574150739,1.88818967649078
"27 Sparus aurata",-0.459078152390541,-0.557136008267712,-0.655193864144901,-0.753251720022083,-0.851309575899264,-0.949367431776446,-1.04742528765363,-1.14548314353081,-1.24354099940799,0.585976273468574,1.30967241521891,0.38986056171421,0.291802705837028,0.193744849959846,0.0956869940826646,-0.00237086179451729,-0.100428717671699,4.39498943913547,-2.22411955817981,-0.842203253369215,-0.543906013340946,0.892753796703241,1.52256297049076,1.56070323562259,-0.133052434432594,0.281453663951524,-0.300963047446854,-0.634595467177866,-0.380666192791466,0.47545596478069,-0.0169576534952875,0.813650159833583,-0.52415875654142,1.09157602487566,0.993518168998483,1.41835953979492,1.1820228299471,0.542534166411472,0.312836072031283,0.73468905320995,0.783097645458329,1.14323873286211,0.363598530129728,-0.213058773403023,-0.740364138425141,-0.609124232718104,-0.551204576466153,-0.270262212639393,-1.38764329688576,-0.514136692471325,-1.07018558852275,-0.322416608675773,-0.595863730549773,-1.20956868558809,-0.143646323572195,0.506412520659341,-0.0681683916037063,-1.11786729472379,-0.0561889607594341,0.354711331161994
"NAOdm",-0.991694826979959,-0.650118942257932,1.34106370858783,-0.21962890048616,0.283639764553176,-0.140477767184167,1.59310041698255,-0.513089074707956,-0.854506504152467,-0.693675624869275,-0.909122439951133,0.111282123273789,1.21384988627044,-0.106273380680148,-1.89900138014672,-0.546426179245571,-0.652204096242507,-0.0667048838999365,1.02375178629132,0.256361761682298,0.783794835844848,0.313196221254604,-1.09391958627606,0.0873461755431177,-1.32837150847792,-0.141958934432507,0.522073925293481,-0.0166949467375151,1.37997982938595,0.367543740003321,-0.562413429706595,-0.283340286585859,0.0111220246824422,-0.194604794063958,1.99851681627374,1.60873547255899,-0.133844267191789,1.04461611969315,0.832789831937927,1.12136488824658,1.6139005708136,-2.37006960981946,-0.213332991140676,0.285894240882791,0.423766168169099,1.10403339680435,-0.809117465084573,0.241221774707277,-0.0863272092003528,-0.588637318296097,-0.523259339491015,-1.12244442164823,1.01032936982521,0.629759980981111,-0.727848284508078,-2.89980741857054,-1.18940804715759,1.17570350613039,-0.988128114325454,1.13771363684481
"MEIjj",-1.37491944379614,-2.22270660158949,-0.266233587532045,1.50667243298866,0.768621335115292,0.184673349133504,0.030753302798016,-0.488506392032321,-0.417086614201789,0.497489250190241,-0.455424276290549,1.23969513136165,-0.180453417242133,-0.548078161086881,0.67563777385781,0.461566599327209,-1.62025921311825,-0.579877124164464,1.3648374734597,-2.01804085354637,-0.900451679100966,-1.71996536898511,0.702742026990959,0.730593654780488,0.244699445620173,0.866672446350928,0.327004632649485,0.158874098827976,2.29157661168462,0.302265236417784,-0.411969124774482,-0.127891963693167,1.29476910192539,1.03320057873222,-1.40960445368178,0.126686460647864,0.388253161939878,1.43038953193697,0.922043575345318,0.630491053481147,0.849687265014489,-0.467477025820695,-0.0626272860590393,2.24744025485442,-0.999955601488348,-1.08021081727474,-0.532879929070048,-0.0137331428589773,0.624589876335394,0.163560880047414,0.472788764183059,-0.374826123340064,0.385904491039199,-1.36173550922959,-0.6578643736183,0.681963932820083,-2.1483776469656,-0.777198505078769,-0.105361221384552,-0.282428272832667
"AMOyr",3.11976825506972,1.51544864912681,0.562463669334992,0.721310573578395,0.199164286725271,1.40102641473701,1.42331621877373,0.560680109102231,-0.483579543080038,0.627296117691973,0.426057442453488,0.237271293067544,0.969092369716292,-0.154257530108424,-1.15599328037254,-0.870294137189894,-0.521601318453342,-2.91504953373496,-1.82354433887871,-1.75943146495024,0.296291130919715,0.304766387329117,-0.375588323622036,-0.287806943361719,-0.595177083212367,-0.532893931949758,-0.45288175225076,-1.30119978987089,-0.828958114762716,-0.580089463777025,-1.19986173906297,-1.79725879466045,-0.63942257926239,-0.827456924107079,0.329376258461875,-0.246583082542009,-0.496824732890963,-0.668686055790598,-0.695389234465453,-0.312316809475042,0.305007369130863,-0.334883846998295,-0.468665156220575,0.606050744742394,1.46777888348115,0.947891230392968,0.612685974538864,-0.499657487568929,0.51635612348005,0.405996620863551,0.447573988095619,1.34463590575033,0.308462068069754,1.34999647244406,-0.209969657882955,-0.0129771535663754,-0.100915178066462,1.56615387636547,0.3382316158637,0.239064932829037
"CrudeOil",0.478250544239654,0.391738299166972,0.221501744901344,0.308506140502941,0.234503105225185,-0.0645859668193976,-0.285322732779258,-0.371732440599704,-0.459276017801896,-0.55662393364171,-0.662983013830949,-0.807637501995267,-0.96655336681735,-1.19204178617416,-1.53680628372555,-2.47706984766738,-1.09725741202588,-0.933179699712509,-0.460656803292797,1.47425702552588,1.26476640299779,1.2900894802212,1.26893015469807,1.10422393862009,2.28815797832879,2.28183703997794,1.99851553794956,1.67959820794222,1.37564066316763,1.20122537162087,1.01160544847968,-0.148949383113927,0.140522049905915,-0.330586958664124,-0.13301325024569,0.159060408314649,-0.245116323181689,-0.406777467542728,-0.727109194021754,-0.944947579716014,-0.923352393641061,-0.701409135655965,-0.927168549058923,-1.73893794949906,-1.20371475397328,-0.546836996359533,-0.900940409613948,-0.943871774349208,-0.802675116706239,-0.434320226865863,0.0522906644960948,0.252144441776905,0.334416265172701,0.752072152902459,-0.118504274676671,0.246249518232135,0.758435113235057,0.670847109461874,0.535863510665433,0.274710226040425
